lesson,word,pronunciation,partOfSpeech,definition,example
1,bilateral,by-LAT-er-ul,adjective,involving or affecting two sides equally,The two countries signed a bilateral trade agreement.
1,bipartisan,by-PAR-tih-zan,adjective,supported by or consisting of members of two political parties,The bill passed with bipartisan support in Congress.
1,bisect,BY-sekt,verb,to cut or divide into two equal parts,The river bisects the town from north to south.
1,duplex,DOO-pleks,noun/adjective,a building divided into two separate residences; having two parts,They rented the upper unit of a duplex near downtown.
1,duplicate,DOO-plih-kit,noun/verb,an exact copy; to make an exact copy of,Please duplicate this report and hand it to each committee member.
1,monarch,MON-ark,noun,a sovereign ruler such as a king or queen,The monarch addressed the nation on the eve of the holiday.
1,monogram,MON-oh-gram,noun,a design combining two or more letters (often initials),Her luggage was embroidered with a gold monogram.
1,monolith,MON-oh-lith,noun,a large single upright block of stone; something massive and uniform,The ancient monolith stood alone on the hilltop for thousands of years.
1,monologue,MON-oh-log,noun,a long speech by one person,The actor delivered a powerful monologue in the final act.
1,monopoly,muh-NOP-uh-lee,noun,exclusive control of a commodity or service by one entity,The company held a monopoly on local telephone service for decades.
1,unanimous,yoo-NAN-ih-mus,adjective,fully in agreement; with no dissenting opinion,The jury reached a unanimous verdict after only two hours.
1,unilateral,yoo-nih-LAT-er-ul,adjective,performed by or affecting only one side,The president made a unilateral decision without consulting Congress.
2,bicentennial,by-sen-TEN-ee-ul,noun/adjective,a 200th anniversary or its celebration,The city held a grand parade for its bicentennial celebration.
2,centenary,sen-TEN-er-ee,noun/adjective,a 100th anniversary,The university marked its centenary with a series of lectures.
2,centigrade,SEN-tih-grayd,adjective/noun,relating to a temperature scale with 100 degrees between the freezing and boiling points of water,Water boils at 100 degrees centigrade.
2,decathlon,deh-KATH-lon,noun,an athletic contest consisting of ten events,He trained for years before competing in the Olympic decathlon.
2,decimate,DES-ih-mayt,verb,to destroy a large part of; to kill a large portion of,The plague decimated the population of the medieval city.
2,quadrant,KWOD-runt,noun,one of four equal sections of a plane divided by two perpendicular lines,The treasure was buried in the northeastern quadrant of the map.
2,quartet,kwor-TET,noun,a group of four people or things especially musicians,The string quartet performed Beethoven in the park.
2,quatrain,KWOT-rayn,noun,a stanza or poem of four lines,The poet ended each section with a rhyming quatrain.
2,trilogy,TRIL-oh-jee,noun,"a series of three related works (novels, films, etc.)",She read the entire fantasy trilogy over the summer.
2,trisect,TRY-sekt,verb,to divide into three equal parts,The architect trisected the lot to create three equal building plots.
2,triumvirate,try-UM-vir-it,noun,a group of three people sharing authority or power,The company was managed by a triumvirate of co-founders.
3,catholic,KATH-uh-lik,adjective,broad in scope; universal; wide-ranging,"Her reading was catholic: she enjoyed poetry, history, and science equally."
3,cloister,KLOY-ster,noun/verb,a covered walkway in a monastery; to shut away from the world,The monks walked quietly through the cloister at dawn.
3,holocaust,HOL-uh-kawst,noun,destruction or slaughter on a mass scale,The documentary showed the horrors of the Holocaust in stark detail.
3,omnipotent,om-NIP-oh-tent,adjective,having unlimited power,In many religions God is described as omnipotent.
3,omnipresent,om-nih-PREZ-ent,adjective,present everywhere at the same time,In the age of smartphones social media is omnipresent.
3,omnivorous,om-NIV-er-us,adjective,eating both plants and animals; taking in everything,Humans are omnivorous and can thrive on a wide range of foods.
3,panacea,pan-uh-SEE-uh,noun,a solution or remedy for all difficulties or diseases,Many people mistakenly view money as a panacea for all problems.
3,pandemonium,pan-duh-MOH-nee-um,noun,wild and noisy disorder; chaos,Pandemonium erupted in the stadium when the home team scored.
3,preclude,prih-KLOOD,verb,to prevent from happening; to make impossible,A sprained ankle precluded him from running in the race.
3,recluse,REK-loos,noun,a person who lives alone and avoids other people,After retiring she became a recluse and rarely left her house.
3,totalitarian,toh-tal-ih-TAIR-ee-un,adjective,relating to a system of government requiring total subservience to the state,The totalitarian regime censored all newspapers and broadcasts.
4,annihilate,uh-NY-uh-layt,verb,to destroy utterly; to obliterate,The massive storm threatened to annihilate the small coastal village.
4,aperture,AP-er-cher,noun,"an opening, hole, or gap; the opening in a camera lens",The photographer adjusted the aperture to let in more light.
4,inception,in-SEP-shun,noun,the beginning or establishment of an institution or activity,The company has grown steadily since its inception in 2005.
4,incipient,in-SIP-ee-ent,adjective,in an initial stage; beginning to happen or develop,The doctor noticed incipient signs of the disease early in the examination.
4,negate,nih-GAYT,verb,to deny the truth of; to make ineffective,New evidence negated the prosecution's main argument.
4,nihilism,NY-uh-liz-um,noun,the rejection of all religious and moral principles; belief that life is meaningless,His philosophy slides dangerously close to nihilism.
4,overt,oh-VURT,adjective,done openly; not secret,His contempt for the rule was overt and impossible to ignore.
4,renegade,REN-ih-gayd,noun/adjective,a person who deserts and betrays a group; rebellious,The renegade soldier refused to follow orders and went his own way.
4,vacuous,VAK-yoo-us,adjective,having or showing a lack of thought or intelligence; empty,The interviewer found her answers vacuous and rehearsed.
4,vanity,VAN-ih-tee,noun,excessive pride in one's appearance or achievements; futility,She spent hours before the mirror consumed by vanity.
4,vaunt,vawnt,verb/noun,to boast about or praise excessively,He was quick to vaunt his accomplishments at every opportunity.
5,attenuate,uh-TEN-yoo-ayt,verb,"to reduce in force, effect, or value; to weaken",The medication helped attenuate the worst symptoms of the illness.
5,expletive,EK-spleh-tiv,noun,a swear word or exclamation,He muttered an expletive under his breath when he stubbed his toe.
5,implement,IM-pluh-ment,verb/noun,to put a plan into effect; a tool or instrument,The school will implement the new policy starting next semester.
5,microbe,MY-krohb,noun,a microorganism especially a bacterium causing disease,Scientists identified the microbe responsible for the outbreak.
5,microcosm,MY-kroh-koz-um,noun,a community or situation regarded as encapsulating the larger world,The diverse classroom was a microcosm of the city itself.
5,minuscule,MIN-uh-skyool,adjective,extremely small; tiny,He wrote in minuscule letters in the margin of the book.
5,minutia,mih-NOO-shuh,noun,small or trivial details (plural: minutiae),She had a talent for remembering the minutia of every conversation.
5,replete,rih-PLEET,adjective,filled or well supplied with something; sated,The library is replete with rare manuscripts from the medieval period.
5,satiate,SAY-shee-ayt,verb,to satisfy a desire or appetite fully,After the long hike a warm meal satiated their hunger completely.
5,tenuous,TEN-yoo-us,adjective,very weak or slight; thin and fragile,The connection between the two events is tenuous at best.
6,copious,KOH-pee-us,adjective,abundant in supply; plentiful,She took copious notes during the three-hour lecture.
6,macrocosm,MAK-roh-koz-um,noun,the whole of a complex structure contrasted with a small representative element,Scientists study ecosystems as macrocosms of individual species interactions.
6,magnanimous,mag-NAN-ih-mus,adjective,generous or forgiving especially toward a rival,The magnanimous champion congratulated her opponent warmly.
6,magnate,MAG-nayt,noun,a wealthy and influential person in business or industry,The oil magnate donated millions to the city's art museum.
6,magnitude,MAG-nih-tood,noun,the great size or extent of something; importance,Scientists measured the magnitude of the earthquake at 7.2.
6,megalomania,meg-uh-loh-MAY-nee-uh,noun,obsession with the exercise of power; delusions of grandeur,The dictator's megalomania led him to build increasingly extravagant monuments.
6,polygamy,puh-LIG-uh-mee,noun,the practice of having more than one spouse at a time,Polygamy is illegal in most countries.
6,polygon,POL-ee-gon,noun,a closed plane figure with three or more straight sides,A hexagon is a polygon with six sides.
6,antebellum,an-tih-BEL-um,adjective,occurring or existing before a particular war especially the American Civil War,The plantation was a fine example of antebellum architecture.
7,antecedent,an-tih-SEE-dent,noun/adjective,a thing or event that came before; a preceding cause,Her difficult childhood was an antecedent to her later struggles.
7,anterior,an-TEER-ee-er,adjective,nearer the front; occurring before in time,The anterior lobe of the brain controls motor functions.
7,avant-garde,ah-vahn-GARD,noun/adjective,new and experimental ideas or methods in art or culture,The gallery featured daring avant-garde sculptures made from recycled materials.
7,precept,PREE-sept,noun,a general rule intended to regulate behavior or thought,The school's main precept was: treat others as you wish to be treated.
7,predestination,preh-des-tih-NAY-shun,noun,the doctrine that all events are determined in advance by God or fate,He believed strongly in predestination and saw no point in resisting fate.
7,preempt,pree-EMT,verb,to take action to prevent another from acting first,The network preempted the scheduled program with a breaking-news broadcast.
7,premonition,prem-uh-NISH-un,noun,a strong feeling that something is about to happen,She had an unsettling premonition that something was wrong.
7,preposterous,prih-POS-ter-us,adjective,contrary to reason; absurd,It seemed preposterous to suggest the earth was flat.
7,pretentious,prih-TEN-shus,adjective,attempting to impress by affecting greater importance than is actually possessed,His pretentious manner at dinner parties annoyed everyone around him.
7,vanguard,VAN-gard,noun,a group of people leading the way in new developments; the foremost part,The company positioned itself in the vanguard of renewable energy technology.
8,posterior,pos-TEER-ee-er,adjective/noun,situated at the back; the buttocks,The posterior section of the brain is involved in visual processing.
8,posthumous,POS-chuh-mus,adjective,occurring after the death of the originator,Her posthumous novel was published two years after she died.
8,premier,PRIH-meer,adjective/noun,first in importance or order; a head of government,The premier addressed the nation following the devastating earthquake.
8,primate,PRY-mayt,noun,"a mammal of the order including apes, monkeys, and humans",The chimpanzee is a primate that shares 98% of its DNA with humans.
8,prime,prym,adjective/noun,of first importance or quality; the most productive period,She was in the prime of her career when the opportunity arose.
8,primeval,pry-MEE-vul,adjective,of or resembling the earliest period of time; ancient,The explorers ventured into a primeval forest untouched by modern civilization.
8,primordial,pry-MOR-dee-ul,adjective,existing from the beginning of time; primeval,Scientists theorize that life began in a primordial soup of organic chemicals.
9,artifact,AR-tih-fakt,noun,a human-made object of historical or cultural interest,Archaeologists discovered a bronze artifact buried beneath the temple.
9,artifice,AR-tih-fis,noun,clever or cunning devices used to trick others; trickery,The magician's whole act depended on artifice and misdirection.
9,artisan,AR-tih-zan,noun,a worker skilled in a particular craft,The market was lined with stalls run by local artisans selling handmade goods.
9,artless,ART-les,adjective,without cunning; sincere and natural; lacking skill,Her artless charm made everyone feel immediately at ease.
9,depict,dih-PIKT,verb,"to show or represent by a drawing, painting, or other art form",The mural depicts scenes from the town's founding in the 18th century.
9,incantation,in-kan-TAY-shun,noun,a series of words spoken as a magic spell,The wizard murmured an incantation over the bubbling cauldron.
9,ode,ohd,noun,a lyric poem typically addressing a subject with praise,Keats wrote a famous ode to a Grecian urn.
9,parody,PAIR-uh-dee,noun/verb,an imitation of a work for comic effect; to imitate for comic effect,The comedian's parody of the president brought the audience to tears.
9,pictograph,PIK-toh-graf,noun,a pictorial symbol representing a word or phrase,The ancient cave walls were covered with pictographs of animals and hunters.
9,recant,rih-KANT,verb,to publicly withdraw a statement or belief,Under pressure he recanted his testimony before the court.
9,rhapsody,RAP-suh-dee,noun,an ecstatic expression of feeling; an enthusiastic piece of music,She went into a rhapsody about the beauty of the Italian coast.
10,accrue,uh-KROO,verb,to accumulate over time; to come to one as a gain or advantage,Interest will accrue in your savings account each month.
10,beneficence,beh-NEF-ih-sens,noun,the quality of being kind and doing good,The philanthropist's beneficence transformed the impoverished neighborhood.
10,context,KON-tekst,noun,the circumstances that form the setting for an event or statement,You must understand the historical context to interpret the speech correctly.
10,crescendo,kreh-SHEN-doh,noun,the loudest or highest point of a gradual increase; a peak,The orchestra built to a thrilling crescendo in the final movement.
10,efficacious,ef-ih-KAY-shus,adjective,successful in producing a desired result; effective,The new drug proved highly efficacious in clinical trials.
10,excrescence,ik-SKRES-ens,noun,an abnormal or disfiguring outgrowth; something unsightly,The wart on his hand was an unsightly excrescence he wished removed.
10,facile,FAS-ul,adjective,easily achieved but lacking depth; overly simplistic,The critic dismissed the essay as a facile treatment of a complex issue.
10,facsimile,fak-SIM-ih-lee,noun,an exact copy or reproduction,The museum displayed a facsimile of the original Declaration of Independence.
10,mollify,MOL-ih-fy,verb,to appease the anger or anxiety of someone,The manager tried to mollify the upset customer with a refund.
10,pretext,PREE-tekst,noun,a reason given to justify an action that conceals the real reason,He used the meeting as a pretext to avoid going to the party.
10,taction,TAK-shun,noun,the sense or act of touch,The neurologist tested the patient's taction along the arm.
11,aberration,ab-er-AY-shun,noun,a departure from what is normal or expected,The scientist dismissed the strange result as a statistical aberration.
11,ambience,AM-bee-ens,noun,the character and atmosphere of a place,The restaurant's warm lighting created a cozy ambience.
11,episode,EP-ih-sohd,noun,an event that is distinct from others; an installment of a series,That summer trip was an unforgettable episode in her childhood.
11,erratic,ih-RAT-ik,adjective,not even or regular in pattern; unpredictable,His erratic behavior worried his family and friends.
11,exodus,EK-suh-dus,noun,a mass departure of people,The drought triggered an exodus of families from the rural villages.
11,obituary,oh-BICH-oo-er-ee,noun,a notice of a death especially in a newspaper,She read the obituary of her former teacher and felt a deep sadness.
11,transgress,trans-GRES,verb,to go beyond the limits set by a rule or law; to sin,Anyone who transgresses the code of conduct will face consequences.
11,transient,TRAN-shent,adjective/noun,lasting only for a short time; a person who stays somewhere briefly,Many transient workers moved on before the end of the harvest season.
11,transitive,TRAN-sih-tiv,adjective,(of a verb) requiring a direct object to complete its meaning,In the sentence She kicked the ball the verb kicked is transitive.
11,transitory,TRAN-sih-tor-ee,adjective,not permanent; tending to pass away,Fame is transitory; integrity lasts a lifetime.
11,translucent,trans-LOO-sent,adjective,allowing light to pass through but not fully transparent,The translucent curtains softened the morning sunlight.
12,advent,AD-vent,noun,"the arrival of a notable person, thing, or event",The advent of the internet changed communication forever.
12,circumvent,ser-kum-VENT,verb,to find a way around an obstacle or rule,He attempted to circumvent the regulation by using a loophole.
12,convene,kun-VEEN,verb,to come together for a meeting; to call people together,The committee agreed to convene at noon on Monday.
12,deviate,DEE-vee-ayt,verb,to depart from an established course or expected behavior,She rarely deviated from her morning routine.
12,devious,DEE-vee-us,adjective,showing a willingness to act deceptively; winding,The devious salesman hid the contract's most important clause in fine print.
12,impervious,im-PUR-vee-us,adjective,not allowing fluid to pass through; unable to be affected,He seemed impervious to criticism no matter how constructive it was.
12,intervene,in-ter-VEEN,verb,to come between two parties in a dispute; to take action to change a situation,The teacher intervened before the argument turned into a fight.
12,itinerant,eye-TIN-er-ent,adjective/noun,traveling from place to place for work,The itinerant musician played in a different town every night.
12,itinerary,eye-TIN-er-er-ee,noun,a planned route or journey; a detailed travel plan,She printed her itinerary and sorted the hotel reservations by date.
12,telepathy,teh-LEP-uh-thee,noun,the supposed transmission of thoughts or feelings between minds without physical contact,Twins sometimes claim to experience telepathy with each other.
13,abject,AB-jekt,adjective,experienced to the maximum degree; completely without pride or dignity,The refugees lived in abject poverty on the outskirts of the city.
13,accelerate,ak-SEL-er-ayt,verb,to increase in speed; to cause to happen sooner,The car accelerated rapidly as it merged onto the highway.
13,celerity,suh-LER-ih-tee,noun,swiftness of movement; speed,The messenger delivered the news with remarkable celerity.
13,concur,kun-KUR,verb,to agree; to happen at the same time,The two professors concurred that the new study was groundbreaking.
13,conglomeration,kun-glom-er-AY-shun,noun,a number of different things grouped together; a large corporation,The valley contained a conglomeration of small industries and workshops.
13,conjecture,kun-JEK-cher,noun/verb,an opinion formed without proof; to guess,Without more data his conclusion was pure conjecture.
13,discourse,DIS-kors,noun/verb,written or spoken communication; to speak or write at length,Polite discourse is the foundation of a healthy democracy.
13,incur,in-KUR,verb,to become subject to something unpleasant as a result of one's actions,He did not want to incur any more debt before finding a new job.
13,interjection,in-ter-JEK-shun,noun,an exclamation expressing emotion; a word or phrase inserted into a sentence,He let out an interjection of surprise when the phone rang at midnight.
13,precursor,prih-KUR-ser,noun,a person or thing that comes before another of the same kind,The Model T was the precursor to all modern automobiles.
13,succor,SUK-er,noun/verb,assistance and support in times of hardship and distress; to give help,The relief organization brought succor to victims of the hurricane.
14,assail,uh-SAYL,verb,to attack vigorously; to criticize strongly,The candidate was assailed by opponents from both sides of the debate.
14,avail,uh-VAYL,noun/verb,use or benefit; to be of use or advantage,She searched everywhere to no avail - the key was simply gone.
14,convalesce,kon-vuh-LES,verb,to recover gradually after illness,He spent two weeks at a seaside cottage to convalesce after surgery.
14,desultory,DEZ-ul-tor-ee,adjective,lacking a plan or purpose; disconnected,The student's desultory study habits led to poor performance on the exam.
14,evolve,ih-VOLV,verb,to develop gradually from a simple to a more complex form,The company's mission evolved significantly after the market shifted.
14,exult,ig-ZULT,verb,to feel or show jubilant elation,The crowd exulted when the final goal was scored in overtime.
14,prevalent,PREV-uh-lent,adjective,widespread in a particular area at a particular time,Flu is most prevalent during the winter months.
14,resilient,rih-ZIL-ee-ent,adjective,able to recover quickly from difficulties; flexible,The resilient community rebuilt its homes within a year after the flood.
14,salient,SAY-lee-ent,adjective,most noticeable or important; prominent,She highlighted the salient points of the report for the board.
14,valor,VAL-er,noun,great courage in the face of danger,The firefighter received a medal for valor after rescuing three children.
14,voluble,VOL-yuh-bul,adjective,talking fluently and at length,The voluble tour guide spoke nonstop for two hours without catching her breath.
15,apiary,AY-pee-er-ee,noun,a place where bees are kept; a collection of beehives,The farmer tended a thriving apiary at the edge of his orchard.
15,aviary,AY-vee-er-ee,noun,a large enclosure for keeping birds,The zoo's aviary housed over two hundred species of tropical birds.
15,bovine,BOH-vyn,adjective/noun,relating to cattle; slow or dull in manner,The bovine animals grazed lazily in the afternoon heat.
15,canine,KAY-nyn,adjective/noun,relating to dogs; a dog; a pointed tooth,The detective relied on his canine partner to track the suspect.
15,caper,KAY-per,noun/verb,a playful leap or jump; a dubious activity; to skip about,The lambs capered in the field on the first warm day of spring.
15,caprice,kuh-PREES,noun,a sudden and unaccountable change of mood or behavior; a whim,On a caprice she booked a flight to Paris for the weekend.
15,capricious,kuh-PRISH-us,adjective,given to sudden changes of mood; unpredictable,The capricious weather ruined their plans for an outdoor wedding.
15,equestrian,ih-KWES-tree-un,adjective/noun,relating to horse riding; a person on horseback,The equestrian event was the highlight of the summer games.
15,equine,EE-kwyne,adjective,relating to horses,The veterinarian specialized in equine medicine.
15,equitation,ek-wih-TAY-shun,noun,the art and practice of horse riding,She studied equitation for years before entering her first competition.
16,leonine,LEE-uh-nyn,adjective,resembling or characteristic of a lion,The king had a leonine mane of silver hair and commanded every room.
16,lionize,LY-uh-nyz,verb,to treat someone as a celebrity or hero,After writing the bestselling novel she was lionized by the literary world.
16,piscine,PIH-syn,adjective,relating to fish,The aquarium's piscine exhibits attracted thousands of visitors each year.
16,porcine,POR-syn,adjective,relating to pigs; resembling a pig,The farmer improved living conditions for the porcine livestock.
16,serpentine,SUR-pen-tyn,adjective,winding like a snake; complex and cunning,The serpentine road wound through the mountain pass for miles.
16,simian,SIM-ee-un,adjective/noun,relating to or resembling an ape or monkey,Researchers studied simian behavior to understand early human ancestors.
16,teline,TEL-yn,adjective,relating to the weasel family (Mustelidae),"The teline mammals include weasels, ferrets, and badgers."
16,ursine,UR-syn,adjective,relating to or resembling bears,The park ranger warned hikers about ursine activity near the campsite.
16,zoology,zoh-OL-uh-jee,noun,the branch of biology dealing with the animal kingdom,She majored in zoology and hoped to work at a wildlife research center.
