lesson,word,pronunciation,partOfSpeech,definition,example
1,accredit,uh-KRED-it,verb,to give official recognition or approval; to attribute to a source,The board voted to accredit the university's engineering program.
1,apotheosis,uh-poth-ee-OH-sis,noun,the highest point of achievement; elevation to divine status,The final symphony is considered the apotheosis of his composing career.
1,atheist,AY-thee-ist,noun,a person who disbelieves in the existence of God or gods,As an atheist he relied on reason and evidence rather than religious doctrine.
1,credence,KREE-dens,noun,belief in or acceptance of something as true,The new evidence lent credence to her theory about the cause of the outbreak.
1,creditable,KRED-ih-tuh-bul,adjective,deserving acknowledgment and praise; worthy of esteem,The rookie's creditable performance in the playoffs earned her a starting spot.
1,credulous,KREJ-uh-lus,adjective,having an excessive readiness to believe things,The credulous tourist was easily convinced to pay triple the fair price.
1,creed,kreed,noun,a set of beliefs or principles; a formal statement of Christian faith,Her personal creed was simple: treat others exactly as you wish to be treated.
1,deify,DEE-ih-fy,verb,to worship or regard as a god; to idealize excessively,"Fans tend to deify rock stars, ignoring their very human flaws."
1,deity,DEE-ih-tee,noun,a god or goddess,Each deity in the Greek pantheon governed a specific domain of human life.
1,divine,dih-VYN,adjective/verb,of or like a god; to discover by intuition or magic,The priest claimed to divine the will of the gods through the flight of birds.
1,divinity,dih-VIN-ih-tee,noun,the state of being divine; a god or goddess; the study of religion,Students of divinity spend years examining scripture and theological history.
1,pantheism,PAN-thee-iz-um,noun,the belief that God and the universe are one and the same,Eastern religions have long incorporated elements of pantheism into their philosophies.
1,pantheon,PAN-thee-on,noun,all the gods of a people; a temple honoring all gods; a group of illustrious people,Shakespeare stands in the pantheon of English literature alongside Chaucer and Milton.
1,theocracy,thee-OK-ruh-see,noun,a government ruled by religious authority in the name of God,The city-state functioned as a theocracy in which priests held all civic power.
1,theology,thee-OL-uh-jee,noun,the study of the nature of God and religious belief,She earned a doctorate in theology before joining the university faculty.
2,consecrate,KON-suh-krayt,verb,to make something sacred; to dedicate solemnly to a purpose,The bishop traveled to consecrate the newly built cathedral in the mountain village.
2,execrate,EK-sih-krayt,verb,to feel or express great loathing for; to curse formally,The crowd gathered to execrate the corrupt official as he was led away.
2,expiate,EK-spee-ayt,verb,to make amends for guilt or sin,He spent years doing community service to expiate the wrong he had caused.
2,hierarchy,HY-uh-rar-kee,noun,a system in which people or things are ranked one above the other,The strict hierarchy of the military means every order flows down through the chain of command.
2,hieroglyphic,hy-er-oh-GLIF-ik,noun/adjective,a picture or symbol used in ancient Egyptian writing; difficult to read,Scholars spent decades learning to decode the hieroglyphic inscriptions on the tomb walls.
2,impious,IM-pee-us,adjective,showing a lack of reverence for God; irreverent,The impious remark shocked the congregation and silenced the hall.
2,piety,PY-ih-tee,noun,deep devotion to religion; dutiful respect,His piety was evident in the hours he spent daily in prayer and reading scripture.
