lesson,word,pronunciation,partOfSpeech,definition,example
1,abstruse,,,,
1,acquiesce,,,,
1,extrude,,,,
1,interloper,,,,
1,internecine,,,,
1,interpolate,,,,
1,interpose,,,,
1,interregnum,,,,
1,juxtapose,,,,
1,obtrude,,,,
1,propinquity,,,,
1,quiescent,,,,
1,rapprochement,,,,
1,requiem,,,,
1,unrequited,,,,
2,altercation,,,,
2,altruism,,,,
2,anathema,,,,
2,antithesis,,,,
2,ephemeral,,,,
2,epitaph,,,,
2,epithet,,,,
2,epitome,,,,
2,eponymous,,,,
2,paradigm,,,,
2,paradox,,,,
2,paragon,,,,
2,parameter,,,,
2,peripatetic,,,,
2,peripheral,,,,
3,aggregation,,,,
3,anarchy,,,,
3,archaic,,,,
3,archetype,,,,
3,archipelago,,,,
3,archive,,,,
3,demagogue,,,,
3,demographer,,,,
3,egregious,,,,
3,endemic,,,,
3,gregarious,,,,
3,icon,,,,
3,iconoclastic,,,,
3,oligarchy,,,,
3,pandemic,,,,
4,annunciation,,,,
4,exegesis,,,,
4,hegemony,,,,
4,induce,,,,
4,politic,,,,
4,polity,,,,
4,potentate,,,,
4,puissant,,,,
4,redoubt,,,,
4,regalia,,,,
4,regency,,,,
4,renunciation,,,,
4,traduce,,,,
4,viceroy,,,,
5,bas-relief,,,,
5,debase,,,,
5,declivity,,,,
5,echelon,,,,
5,imponderable,,,,
5,impunity,,,,
5,leaven,,,,
5,legerdemain,,,,
5,leverage,,,,
5,levitate,,,,
5,levity,,,,
5,penchant,,,,
5,ponderous,,,,
5,preponderant,,,,
5,proclivity,,,,
5,transcendent,,,,
6,aver,,,,
6,cataclysm,,,,
6,catapult,,,,
6,hypochondria,,,,
6,hypothesis,,,,
6,incubus,,,,
6,incumbent,,,,
6,recumbent,,,,
6,subjective,,,,
6,sublimate,,,,
6,suborn,,,,
6,subterfuge,,,,
6,succumb,,,,
6,verisimilitude,,,,
6,verity,,,,
7,acquisitive,,,,
7,demise,,,,
7,dynamo,,,,
7,dynasty,,,,
7,emissary,,,,
7,importune,,,,
7,inquisition,,,,
7,meretricious,,,,
7,meritorious,,,,
7,opportunist,,,,
7,premise,,,,
7,presumption,,,,
7,querulous,,,,
7,subsume,,,,
7,sumptuary,,,,
8,acerbic,,,,
8,acrid,,,,
8,acrimony,,,,
8,acumen,,,,
8,acute,,,,
8,comportment,,,,
8,exacerbate,,,,
8,impecunious,,,,
8,pecuniary,,,,
8,peremptory,,,,
8,plutocrat,,,,
8,preempt,,,,
8,purport,,,,
8,redemption,,,,
8,technocracy,,,,
9,adumbrate,,,,
9,denigrate,,,,
9,elucidate,,,,
9,lucent,,,,
9,lucid,,,,
9,luminary,,,,
9,luminescence,,,,
9,muster,,,,
9,necromancy,,,,
9,pall,,,,
9,palliate,,,,
9,pallid,,,,
9,pellucid,,,,
9,remonstrate,,,,
9,umbrage,,,,
10,apocalypse,,,,
10,apocryphal,,,,
10,apoplexy,,,,
10,apostate,,,,
10,castigate,,,,
10,chasten,,,,
10,clavier,,,,
10,conclave,,,,
10,conducive,,,,
10,diadem,,,,
10,diametrical,,,,
10,diaspora,,,,
10,diatribe,,,,
10,enclave,,,,
10,occlusion,,,,
10,recluse,,,,
11,abate,,,,
11,battery,,,,
11,battlement,,,,
11,bellicose,,,,
11,belligerent,,,,
11,carte blanche,,,,
11,cartel,,,,
11,cartographer,,,,
11,daunt,,,,
11,forte,,,,
11,fortitude,,,,
11,impugn,,,,
11,indomitable,,,,
11,pugilist,,,,
11,pugnacious,,,,
12,accede,,,,
12,cadence,,,,
12,casuistry,,,,
12,cede,,,,
12,compunction,,,,
12,concession,,,,
12,decadent,,,,
12,depredation,,,,
12,expunge,,,,
12,intercede,,,,
12,Occident,,,,
12,predatory,,,,
12,punctilious,,,,
12,pungent,,,,
12,recidivism,,,,
13,aesthete,,,,
13,aesthetic,,,,
13,beatific,,,,
13,beatitude,,,,
13,benign,,,,
13,benignant,,,,
13,benison,,,,
13,bona fide,,,,
13,bonanza,,,,
13,bon vivant,,,,
13,boon,,,,
13,debonair,,,,
13,eugenics,,,,
13,euphemism,,,,
13,euphony,,,,
14,emendation,,,,
14,illicit,,,,
14,impeccable,,,,
14,licentious,,,,
14,maladroit,,,,
14,malaise,,,,
14,malapropism,,,,
14,malefactor,,,,
14,malevolent,,,,
14,malfeasance,,,,
14,malign,,,,
14,malinger,,,,
14,mendacious,,,,
14,mendicant,,,,
14,peccadillo,,,,
15,allege,,,,
15,approbation,,,,
15,censorious,,,,
15,censure,,,,
15,legate,,,,
15,probity,,,,
15,punitive,,,,
15,relegate,,,,
15,reprobate,,,,
15,reproof,,,,
15,subpoena,,,,
15,vendetta,,,,
15,vindicate,,,,
15,vindictive,,,,
16,abjure,,,,
16,abrogate,,,,
16,adjudicate,,,,
16,adjure,,,,
16,arbitrary,,,,
16,arbitrate,,,,
16,arrogate,,,,
16,conjure,,,,
16,exhort,,,,
16,hortatory,,,,
16,judicious,,,,
16,perjury,,,,
16,prerogative,,,,
16,rogue,,,,
16,surrogate,,,,
