lesson,word,pronunciation,partOfSpeech,definition,example
1,contend,kun-TEND,verb,to struggle or compete; to argue or maintain,The two teams contend for the championship every year.
1,defer,dih-FUR,verb,to put off to a later time; to yield to another's judgment,She decided to defer her college enrollment for a year.
1,dilatory,DIL-uh-tor-ee,adjective,slow to act; tending to delay,His dilatory habits caused him to miss several important deadlines.
1,elation,ih-LAY-shun,noun,a feeling of great happiness and excitement,The crowd felt pure elation when their team scored the winning goal.
1,infer,in-FUR,verb,to deduce a conclusion from evidence or reasoning,From her tone you could infer that she was displeased with the result.
1,intent,in-TENT,noun/adjective,a purpose or goal; determined to do something,His intent was to finish the project before the weekend.
1,percussion,per-KUSH-un,noun,musical instruments played by striking; the act of striking forcefully,The percussion section of the orchestra kept the rhythm for the whole piece.
1,perennial,puh-REN-ee-ul,adjective/noun,lasting for a long time; a plant that lives more than two years,The feud between the two families was a perennial source of tension.
1,permeate,PUR-mee-ayt,verb,to spread throughout; to penetrate every part of,The smell of fresh bread began to permeate the entire house.
1,persevere,pur-suh-VEER,verb,to continue in a course of action despite difficulty,She had to persevere through many setbacks before finally succeeding.
2,adversity,ad-VUR-sih-tee,noun,a difficult or unpleasant situation; misfortune,Many great leaders developed character through adversity.
2,avert,uh-VURT,verb,to prevent or ward off; to turn away,Quick thinking helped avert a serious accident on the highway.
2,contort,kun-TORT,verb,to twist or bend out of normal shape,The acrobat could contort her body into impossible positions.
2,distort,dih-STORT,verb,to give a misleading account; to pull out of shape,The fun-house mirror would distort your reflection in amusing ways.
2,introvert,IN-troh-vurt,noun,a person who tends to be inward-thinking and prefers solitude,As an introvert he preferred a quiet evening reading to a loud party.
2,perverse,pur-VURS,adjective,showing a stubborn desire to behave in an unacceptable way,It was perverse of him to enjoy long traffic jams.
2,prose,prohz,noun,ordinary written or spoken language as opposed to poetry,"His prose style was crisp, clear, and easy to follow."
2,retort,rih-TORT,noun/verb,a sharp or witty reply; to make such a reply,She had a quick retort for every criticism thrown her way.
2,subservient,sub-SUR-vee-ent,adjective,obsequiously submissive; serving a secondary purpose,The assistant's subservient attitude made others uncomfortable.
2,subvert,sub-VURT,verb,to undermine the power and authority of an established system,The rebels tried to subvert the government's control over the region.
2,tortuous,TOR-choo-us,adjective,full of twists and turns; excessively complex,The tortuous mountain road made many passengers carsick.
3,compound,KOM-pownd,noun/verb/adjective,a combination of two or more things; to add to or increase,The doctor warned that stress could compound his medical condition.
3,excerpt,EK-surpt,noun/verb,a short passage taken from a longer work; to extract a passage,She read an excerpt from her novel at the literary festival.
